2018-01-10 17:13:44.1502 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2018-01-10 17:13:44.2152 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2018-01-10 17:13:44.8019 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2018-01-10 17:14:12.5214 | Telegram.Request.TelegramRequest.GetUpdates | DEBUG | New message event 

2018-01-10 17:14:12.5214 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | DEBUG | New message: message_id:316 user_id:2730927 chat_id:2730927 username:Infom name: Ruslan Kasimov date: 1515593652 message:'/t @Infom 400 @Infom @Boris' 

2018-01-10 17:14:12.9776 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /t 

2018-01-10 17:14:12.9896 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Начала парсинга транзакции в строке '@Infom 400 @Infom @Boris' 

2018-01-10 17:14:12.9896 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь from 'Infom' 

2018-01-10 17:14:13.0087 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Сумма '400' 

2018-01-10 17:16:12.2241 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2018-01-10 17:16:12.2812 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2018-01-10 17:16:12.7615 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2018-01-10 17:16:13.1144 | Telegram.Request.TelegramRequest.GetUpdates | DEBUG | New message event 

2018-01-10 17:16:13.1144 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | DEBUG | New message: message_id:316 user_id:2730927 chat_id:2730927 username:Infom name: Ruslan Kasimov date: 1515593652 message:'/t @Infom 400 @Infom @Boris' 

2018-01-10 17:16:13.6297 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /t 

2018-01-10 17:16:13.6297 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Начала парсинга транзакции в строке '@Infom 400 @Infom @Boris' 

2018-01-10 17:16:13.6297 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь from 'Infom' 

2018-01-10 17:16:13.6449 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Сумма '400' 

2018-01-10 17:16:50.6137 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2018-01-10 17:16:50.6667 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2018-01-10 17:16:51.1287 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2018-01-10 17:16:51.5092 | Telegram.Request.TelegramRequest.GetUpdates | DEBUG | New message event 

2018-01-10 17:16:51.5092 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | DEBUG | New message: message_id:316 user_id:2730927 chat_id:2730927 username:Infom name: Ruslan Kasimov date: 1515593652 message:'/t @Infom 400 @Infom @Boris' 

2018-01-10 17:16:51.9286 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /t 

2018-01-10 17:16:51.9286 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Начала парсинга транзакции в строке '@Infom 400 @Infom @Boris' 

2018-01-10 17:16:51.9286 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь from 'Infom' 

2018-01-10 17:16:51.9446 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Сумма '400' 

2018-01-10 17:21:21.3069 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2018-01-10 17:21:21.3569 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2018-01-10 17:21:21.9648 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2018-01-10 17:21:22.3620 | Telegram.Request.TelegramRequest.GetUpdates | DEBUG | New message event 

2018-01-10 17:21:22.3675 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | DEBUG | New message: message_id:316 user_id:2730927 chat_id:2730927 username:Infom name: Ruslan Kasimov date: 1515593652 message:'/t @Infom 400 @Infom @Boris' 

2018-01-10 17:21:22.7983 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /t 

2018-01-10 17:21:22.8048 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Начала парсинга транзакции в строке '@Infom 400 @Infom @Boris' 

2018-01-10 17:21:22.8048 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь from 'Infom' 

2018-01-10 17:21:22.8048 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Сумма '400' 

2018-01-10 17:26:33.3798 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2018-01-10 17:26:33.4423 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2018-01-10 17:26:34.0265 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2018-01-10 17:26:34.3827 | Telegram.Request.TelegramRequest.GetUpdates | DEBUG | New message event 

2018-01-10 17:26:34.3827 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | DEBUG | New message: message_id:316 user_id:2730927 chat_id:2730927 username:Infom name: Ruslan Kasimov date: 1515593652 message:'/t @Infom 400 @Infom @Boris' 

2018-01-10 17:26:34.8360 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /t 

2018-01-10 17:26:34.8360 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Начала парсинга транзакции в строке '@Infom 400 @Infom @Boris' 

2018-01-10 17:26:34.8480 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь from 'Infom' 

2018-01-10 17:26:34.8480 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Сумма '400' 

2018-01-10 17:26:34.8660 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | Search in '@Infom @Boris ' 

2018-01-10 17:26:34.8660 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 1 

2018-01-10 17:26:34.8660 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 2 

2018-01-10 17:26:34.8800 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 3 

2018-01-10 17:26:34.8800 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 4 

2018-01-10 17:26:34.8800 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 5 

2018-01-10 17:26:34.8941 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 6 

