2018-05-18 11:36:15.6529 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Запуск бота 

2018-05-18 11:36:15.6921 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Подключение к БД 

2018-05-18 11:36:16.1891 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Запуск пуллинга telegram API 

2018-05-18 11:40:50.3476 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Starting bot 

2018-05-18 11:40:50.4056 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Connection to DB 

2018-05-18 11:40:51.0232 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Start pooling telegram API 

2018-05-18 11:41:12.3403 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Starting bot 

2018-05-18 11:41:12.3813 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Connection to DB 

2018-05-18 11:41:12.8202 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Start pooling telegram API 

2018-05-18 14:36:10.2133 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Starting bot 

2018-05-18 14:36:10.3314 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Connection to DB 

2018-05-18 14:36:10.8588 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Start pooling telegram API 

2018-05-18 14:39:36.4941 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Starting bot 

2018-05-18 14:39:36.5757 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Connection to DB 

2018-05-18 14:39:37.0271 | DeeBeeTeeAlphaBot.Bot.Start | INFO | Start pooling telegram API 

